,GPS,catalog.shortName,chi_eff,chi_eff_lower,chi_eff_unit,chi_eff_upper,chirp_mass,chirp_mass_lower,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_unit,chirp_mass_source_upper,chirp_mass_unit,chirp_mass_upper,commonName,far,far_lower,far_unit,far_upper,final_mass_source,final_mass_source_lower,final_mass_source_unit,final_mass_source_upper,jsonurl,luminosity_distance,luminosity_distance_lower,luminosity_distance_unit,luminosity_distance_upper,mass_1_source,mass_1_source_lower,mass_1_source_unit,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_unit,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_unit,network_matched_filter_snr_upper,redshift,redshift_lower,redshift_unit,redshift_upper,reference,total_mass_source,total_mass_source_lower,total_mass_source_unit,total_mass_source_upper,version
40,1239082262.2,O3_Discovery_Papers,0.25,-0.11,,0.08,15.2,-0.1,13.3,-0.4,M_sun,0.4,M_sun,0.3,GW190412,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O3_Discovery_Papers/GW190412/v2,740.0,-160.0,Mpc,130.0,30.1,-5.3,M_sun,4.6,8.3,-0.9,M_sun,1.6,19.0,-0.3,,0.2,0.15,-0.03,,0.03,/o3_eventdata_docs/,38.4,-3.9,M_sun,3.8,2
41,1239082262.2,GWTC-2,0.25,-0.11,,0.08,15.2,-0.2,13.3,-0.3,M_sun,0.4,M_sun,0.2,GW190412,1e-05,,1/yr,,37.3,-3.9,M_sun,3.9,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190412/v3,740.0,-170.0,Mpc,140.0,30.0,-5.1,M_sun,4.7,8.3,-0.9,M_sun,1.6,18.86182683162956,,,,0.15,-0.03,,0.03,/GWTC-2/,38.4,-3.7,M_sun,3.8,3
42,1239168612.5,GWTC-2,0.01,-0.33,,0.29,40.1,-6.6,24.0,-3.7,M_sun,5.4,M_sun,8.0,GW190413_052954,0.07168326663702794,,1/yr,,54.3,-8.4,M_sun,12.4,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190413_052954/v1,4100.0,-1890.0,Mpc,2410.0,33.4,-7.4,M_sun,12.4,23.4,-6.3,M_sun,6.7,8.555396161858269,,,,0.66,-0.27,,0.3,/GWTC-2/,56.9,-8.9,M_sun,13.1,1
43,1239198206.7,GWTC-2,-0.01,-0.28,,0.24,57.9,-9.2,31.9,-4.6,M_sun,7.3,M_sun,8.5,GW190413_134308,0.043657319879159086,,1/yr,,72.8,-10.3,M_sun,15.2,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190413_134308/v1,5150.0,-2340.0,Mpc,2440.0,45.4,-9.6,M_sun,13.6,30.9,-9.6,M_sun,10.2,9.030693020279005,,,,0.8,-0.31,,0.3,/GWTC-2/,76.1,-10.6,M_sun,15.9,1
44,1239917954.3,GWTC-2,-0.05,-0.26,,0.23,47.0,-6.0,30.7,-3.9,M_sun,5.5,M_sun,6.8,GW190421_213856,0.0007738314255311893,,1/yr,,68.6,-8.1,M_sun,11.7,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190421_213856/v1,3150.0,-1420.0,Mpc,1370.0,40.6,-6.6,M_sun,10.4,31.4,-8.2,M_sun,7.5,10.55069569549375,,,,0.53,-0.21,,0.18,/GWTC-2/,71.8,-8.6,M_sun,12.5,1
45,1240164426.1,GWTC-2,0.15,-0.22,,0.22,43.7,-5.0,30.3,-4.2,M_sun,5.7,M_sun,6.2,GW190424_180648,0.7822864941910456,,1/yr,,67.1,-9.2,M_sun,12.5,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190424_180648/v1,2550.0,-1330.0,Mpc,1560.0,39.5,-6.9,M_sun,10.9,31.0,-7.3,M_sun,7.4,10.03894424438477,,,,0.45,-0.21,,0.22,/GWTC-2/,70.7,-9.8,M_sun,13.4,1
46,1240215503.0,O3_Discovery_Papers,0.012,-0.013,,0.015,1.4868,-0.0003,1.44,-0.02,M_sun,0.02,M_sun,0.0003,GW190425,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O3_Discovery_Papers/GW190425/v1,159.0,-72.0,Mpc,69.0,1.74,-0.09,M_sun,0.17,1.56,-0.14,M_sun,0.08,12.46,-0.43,,0.29,0.04,-0.02,,0.01,/o3_eventdata_docs/,3.3,-0.1,M_sun,0.1,1
47,1240215503.0,GWTC-2,0.06,-0.05,,0.11,1.49,-0.0006,1.44,-0.02,M_sun,0.02,M_sun,0.0008,GW190425,0.000751854698112682,,1/yr,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190425/v2,160.0,-70.0,Mpc,70.0,2.0,-0.3,M_sun,0.6,1.4,-0.3,M_sun,0.3,13.02922972476558,,,,0.03,-0.02,,0.01,/GWTC-2/,3.4,-0.1,M_sun,0.3,2
48,1240327333.3,GWTC-2,-0.03,-0.3,,0.33,2.6,-0.01,2.41,-0.08,M_sun,0.08,M_sun,0.01,GW190426_152155,1.443741335492165,,1/yr,,,,,,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190426_152155/v1,380.0,-160.0,Mpc,190.0,5.7,-2.3,M_sun,4.0,1.5,-0.5,M_sun,0.8,10.12041364677255,,,,0.08,-0.03,,0.04,/GWTC-2/,7.2,-1.5,M_sun,3.5,1
49,1240944862.3,GWTC-2,-0.02,-0.26,,0.2,38.8,-5.9,30.1,-4.0,M_sun,4.2,M_sun,5.5,GW190503_185404,1e-05,,1/yr,,68.2,-7.5,M_sun,8.7,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190503_185404/v1,1520.0,-660.0,Mpc,710.0,42.9,-7.8,M_sun,9.2,28.5,-7.9,M_sun,7.5,12.09959960690361,,,,0.29,-0.11,,0.11,/GWTC-2/,71.3,-8.0,M_sun,9.3,1
50,1241719652.4,GWTC-2,0.03,-0.13,,0.13,18.6,-0.8,14.5,-1.0,M_sun,1.3,M_sun,0.9,GW190512_180714,1e-05,,1/yr,,34.2,-3.4,M_sun,3.9,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190512_180714/v1,1490.0,-590.0,Mpc,530.0,23.0,-5.7,M_sun,5.4,12.5,-2.5,M_sun,3.5,12.26449406234808,,,,0.28,-0.1,,0.09,/GWTC-2/,35.6,-3.4,M_sun,3.9,1
51,1241816086.8,GWTC-2,0.12,-0.18,,0.29,29.7,-2.6,21.5,-1.9,M_sun,3.6,M_sun,6.1,GW190513_205428,1e-05,,1/yr,,51.3,-5.8,M_sun,8.1,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190513_205428/v1,2160.0,-800.0,Mpc,940.0,35.3,-9.0,M_sun,9.6,18.1,-4.2,M_sun,7.3,12.28987773592599,,,,0.39,-0.13,,0.14,/GWTC-2/,53.6,-5.9,M_sun,8.6,1
52,1241852074.8,GWTC-2,-0.16,-0.32,,0.28,48.9,-7.8,27.4,-4.3,M_sun,6.9,M_sun,7.4,GW190514_065416,0.5266876793595081,,1/yr,,61.6,-9.2,M_sun,16.0,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190514_065416/v1,4930.0,-2410.0,Mpc,2760.0,36.9,-7.3,M_sun,13.4,27.5,-7.7,M_sun,8.2,8.304493549646196,,,,0.77,-0.33,,0.34,/GWTC-2/,64.2,-9.6,M_sun,16.6,1
53,1242107479.8,GWTC-2,0.53,-0.19,,0.2,36.1,-3.5,26.0,-4.0,M_sun,4.2,M_sun,4.0,GW190517_055101,5.720513515363399e-05,,1/yr,,57.8,-9.1,M_sun,9.4,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190517_055101/v1,2110.0,-1000.0,Mpc,1790.0,36.4,-7.8,M_sun,11.8,24.8,-7.1,M_sun,6.9,10.24122163775042,,,,0.38,-0.16,,0.26,/GWTC-2/,61.9,-9.6,M_sun,10.0,1
54,1242315362.4,GWTC-2,0.33,-0.22,,0.19,65.9,-10.3,43.5,-6.8,M_sun,6.8,M_sun,7.5,GW190519_153544,1e-05,,1/yr,,98.7,-14.2,M_sun,13.5,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190519_153544/v1,2850.0,-1140.0,Mpc,2020.0,64.5,-13.2,M_sun,11.3,39.9,-10.6,M_sun,11.0,12.04985270704691,,,,0.49,-0.17,,0.27,/GWTC-2/,104.2,-14.9,M_sun,14.5,1
55,1242442967.4,O3_Discovery_Papers,,,,,,,,,,,,,GW190521,,,,,,,,,https://www.gw-openscience.org/eventapi/json/O3_Discovery_Papers/GW190521/v1,,,,,,,,,,,,,,,,,,,,,/o3_eventdata_docs/,,,,,1
