Unnamed: 0,fap,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id,injection_mass_1,injection_mass_2,injection_geocent_time,injection_chi_1,injection_chi_2,injection_luminosity_distance,injection_theta_jn,injection_psi,injection_phase,injection_ra,injection_dec
896,1.6282851e-07,119518.48,12.271139,16.052305882055077,0.0,9.263798,1178074435.1831057,1178074437.1831057,0.4151011999999999,600050,13.109484,1178074435.1796875,1178074437.1796875,0.4151011999999999,355694,46.025463,18.582666,64.60813,24.957799121480413,0.40374753,-0.021807132,-0.021807132,26.2,130954,31.47676086425781,48.26715850830078,1178074437.1843526,0.2564317882061005,0.7479929924011229,327.8382873535156,0.8806108236312866,1.5010149478912354,2.3335909843444824,2.5573749542236333,-0.5831261873245239
906,1.6282851e-07,119518.48,31.991295,58.994369933779765,0.0,40.288197,1178076931.574707,1178076933.574707,0.28112334,2807136,43.095207,1178076931.5703125,1178076933.5703125,0.28112334,1662353,44.210617,32.163776,76.37439,32.745121909380565,0.7275125,0.7821429,0.7821429,26.9,149402,36.08422088623047,45.777320861816406,1178076933.583308,0.4753664135932922,0.1050458028912544,83.1156234741211,1.697293996810913,5.247636795043945,1.931867957115173,3.685522079467773,0.5083776116371155
909,7.3272568e-06,2655.966,9.731603,11.16306146844096,0.0,8.640811,1178078140.709473,1178078142.709473,0.34468815,980045,7.0675545,1178078140.7041016,1178078142.7041016,0.34468815,579995,45.974983,26.99901,72.97399,30.457063571647872,0.5872544,0.35813573,0.35813573,26.8,134655,19.658700942993164,46.70861053466797,1178078142.690534,0.5202450156211853,0.1313015073537826,979.5214233398438,2.586920976638794,5.2396111488342285,4.807726860046387,3.5208189487457275,-1.3905320167541504
914,1.6282851e-07,119518.48,12.104594,15.85860060531792,0.0,7.120806699999999,1178079132.3496096,1178079134.3496096,0.34778512,990687,14.170015,1178079132.3452148,1178079134.3452148,0.34778512,586256,56.930637,19.241774,76.17241,28.01529161781041,0.33798626,0.13007922,0.13007922,26.2,130676,45.66497039794922,37.826019287109375,1178079134.3607788,0.1109488978981971,0.9951099753379822,867.5089111328125,1.4298659563064575,2.949084997177124,0.617501974105835,3.9578120708465576,0.5627949833869934
920,1.6282851e-07,119518.48,21.100855,32.572085738600194,0.0,21.711761,1178082737.6762695,1178082739.6762695,0.25751165,660190,24.280449,1178082737.6767578,1178082739.6767578,0.25751165,391023,63.226902,25.255524,88.48241999999999,34.086590604163625,0.3994427,0.09305124,0.09305124,26.4,131914,64.40567016601561,23.49765014648437,1178082739.653226,0.0339003503322601,0.7298837900161743,500.198486328125,0.6147155165672302,2.1402010917663574,1.483944058418274,0.0942978486418724,-0.1832859069108963
922,1.6282851e-07,119518.48,55.332726,108.91011723953989,0.0,66.97378499999999,1178083033.8930664,1178083035.8930664,0.40678188,150370,85.88320999999999,1178083033.8901367,1178083035.8901367,0.40678188,90013,59.666054,20.357304,80.02336,29.51380393272559,0.34118736,0.5769905,0.5769905,26.9,140512,18.192930221557614,62.23060989379883,1178083035.9056792,0.6304379105567932,0.4987555146217346,78.45036315917969,1.8635300397872925,3.2709550857543945,2.993792057037353,3.689810991287232,0.4304575026035309
928,1.6282851e-07,119518.48,15.888162,26.93236858065031,0.0,12.14326,1178087333.3413086,1178087335.3413086,0.20923208,2062006,24.03942,1178087333.3500974,1178087335.3500974,0.20923208,1220084,62.972015,32.328777,95.3008,38.85284459107613,0.51338327,0.6631613000000001,0.6631613000000001,26.8,137199,56.77436065673828,40.59817886352539,1178087335.3266814,0.5004191994667053,0.3545924127101898,631.947021484375,0.4032087028026581,6.0380449295043945,4.843211174011231,1.4972679615020752,0.0034954620059579
930,1.139799e-06,17074.068,10.0163555,11.228665677365766,0.0,6.855606,1178087823.2700195,1178087825.2700195,0.4113122999999999,1969742,8.892896,1178087823.274414,1178087825.274414,0.4113122999999999,1166514,30.93601,20.591702,51.52771,21.881936413075422,0.6656224000000001,-0.99732435,-0.99732435,25.9,130062,34.69021987915039,22.81818008422852,1178087825.253495,0.9542948007583618,0.0275387205183506,832.6956176757812,0.998376727104187,2.989262104034424,4.9026288986206055,1.460407018661499,-0.5810303092002869
933,0.27995336,0.059253007,8.487358,9.138543672790156,0.0,6.507338,1178107334.2441404,1178107336.2441404,0.25751165,660424,6.416193,1178107334.2426758,1178107336.2426758,0.25751165,391139,63.226902,25.255524,88.48241999999999,34.086590604163625,0.3994427,0.09305124,0.09305124,26.4,131914,23.531450271606445,69.62455749511719,1178107336.2235167,0.4813402891159058,0.1470789015293121,1919.737060546875,0.8689631819725037,2.711016893386841,5.624821186065674,1.62191903591156,-0.0039378511719405
934,1.6282851e-07,119518.48,16.023808,22.51162099321726,0.0,17.019428,1178107516.0605466,1178107518.0605466,0.37494862,2569042,14.734726,1178107516.0649414,1178107518.0649414,0.37494862,1522170,33.573353000000004,24.626734,58.20009,24.97216477061973,0.7335202,-0.19026694,-0.19026694,26.3,138772,45.022708892822266,20.15349006652832,1178107518.0764775,0.3056961894035339,0.0474707782268524,553.60888671875,0.616288423538208,4.479349136352539,0.1667332947254181,4.649161815643311,0.9721410274505616
