Unnamed: 0,ifar,stat,snr,timeslide_value,H1_snr,H1_start_time,H1_trigger_time,H1_template_duration,H1_trigger_id,L1_snr,L1_start_time,L1_trigger_time,L1_template_duration,L1_trigger_id,mass_1,mass_2,mass_total,mass_chirp,mass_ratio,spin1z,spin2z,f_lower,template_id
2807961,0.0018008876083787,8.017207,8.005402088019169,624000.0,5.798873400000001,1178160352.7788086,1178160354.7788086,0.39978135,272558240,5.5190153,1177536352.7749026,1177536354.7749026,0.39978135,129502667,135.79474,6.8094187,142.60416,22.323863152234324,0.050144937,0.32737797,0.32737797,24.1,330868
2808220,0.7901719980134579,8.799512,15.177615427909943,624495.6,7.692209,1177760106.496582,1177760108.496582,0.16718888,193725456,13.083957,1177135610.888672,1177135612.888672,0.16718888,92045409,148.4263,1.8475206,150.27382,10.653282007065448,0.0124473935,-0.4039656,-0.4039656,22.1,177742
2808760,0.0779172803058653,8.52184,9.066365115250791,625018.1,5.659900700000001,1177664710.630371,1177664712.630371,0.22984311,201004170,7.0826902,1177039692.5273438,1177039694.5273438,0.22984311,95501483,147.54742,1.5285785,149.076,9.48964755579168,0.010359913,-0.3900991,-0.3900991,21.5,328741
2809164,0.1743756635369589,8.620336,9.49478468232022,625524.7000000001,7.279319,1177756343.8085938,1177756345.8085938,0.42817792,340256559,6.0961013,1177130819.116211,1177130821.116211,0.42817792,161662950,145.18263000000002,1.5144101,146.69704,9.375849626260733,0.01043107,-0.26791865,-0.26791865,21.2,191888
2810366,0.6430002827623273,8.77551,9.548261862773922,627304.0,6.2851324,1178168078.8730466,1178168080.8730466,0.20161372,30913188,7.187935400000001,1177540774.868164,1177540776.868164,0.20161372,14691703,98.30989,4.536269,102.84616,15.386505729246904,0.046142552,-0.8392708000000001,-0.8392708000000001,23.2,178204
2811423,0.0819417504956458,8.5280905,9.25736802598071,628628.5,5.560407,1178169403.3740234,1178169405.3740234,0.16193812,120428471,7.401401,1177540774.8769534,1177540776.8769534,0.16193812,57239121,63.229652,21.310553,84.54021,31.066808768593145,0.33703417,-0.90298134,-0.90298134,25.7,149382
2812335,1.7354424997079193e-05,5.656854,68.56316605880411,630000.0,68.33708,1177841700.6347654,1177841702.6347654,0.17543423,97213624,5.5633836,1177211700.6391602,1177211702.6391602,0.17543423,46205853,341.0442,5.2772403,346.32144,27.876268610222247,0.015473773,0.64179367,0.64179367,22.2,192668
2813283,0.0893365292696824,8.538798,9.25319493966938,631368.3,5.9069743,1178161459.0322266,1178161461.0322266,0.35601223,251782521,7.1224484,1177530090.7348633,1177530092.7348633,0.35601223,119626476,328.08237,10.219828,338.3022,40.68130853779335,0.031150188,0.93011975,0.93011975,24.0,302130
2814521,0.0797627805198584,8.524736,9.5892829490963,633239.9,6.428705,1178288168.2958984,1178288170.2958984,0.44905716,294326778,7.115202,1177654928.3989258,1177654930.3989258,0.44905716,139841728,196.71991,9.766748,206.48666,32.14997144174777,0.04964799,0.8659176,0.8659176,25.1,205156
2814856,0.2106169251708526,8.643148,9.11369270458003,633750.1000000001,5.8493814,1177851550.765625,1177851552.765625,0.3916094,325379589,6.9888577000000005,1177217800.6635742,1177217802.6635742,0.3916094,154593027,36.938164,22.939337,59.877502,25.19886403190917,0.62101996,-0.6625346999999999,-0.6625346999999999,26.3,132423
2815535,0.3272455734649637,8.695847500000001,9.848752506629152,634680.4,5.643697,1178172988.006836,1178172990.006836,0.31623322,64681602,8.071344999999999,1177538307.600586,1177538309.600586,0.31623322,30746335,93.54016,10.105251,103.64542,24.11110545829245,0.10803115,-0.064206265,-0.064206265,24.7,178405
2815593,0.0897945547304821,8.539433,9.126567526154943,634833.4,7.030415,1178289390.9521484,1178289392.9521484,0.24849528,188714660,5.819579,1177654557.5512695,1177654559.5512695,0.24849528,89664282,459.39523,18.15449,477.5497,65.59920802527407,0.039518237,0.9865695,0.9865695,25.7,331193
2815864,0.6688075909119979,8.780083,10.857757865681949,635162.7000000001,9.1831045,1177734108.2729492,1177734110.2729492,0.23989303,266790638,5.793228599999999,1177098945.5654294,1177098947.5654294,0.23989303,126763033,228.29263,3.6958776,231.98851,19.170453531429647,0.01618921,0.38990137,0.38990137,22.5,392218
2815965,19.72441072213277,9.169864,10.71528693683529,635425.6000000001,6.115412,1178169984.0913086,1178169986.0913086,0.38256997,309820649,8.798813,1177534558.487793,1177534560.487793,0.38256997,147199825,217.50641,3.7169209,221.22333,18.863706810875,0.017088788,0.4697697,0.4697697,22.6,192734
2817778,0.0866981885261588,8.535091,13.803526807573672,637981.3,10.635706,1178172539.7836914,1178172541.7836914,0.38256997,309820669,8.798813,1177534558.487793,1177534560.487793,0.38256997,147199825,217.50641,3.7169209,221.22333,18.863706810875,0.017088788,0.4697697,0.4697697,22.6,192734
2818280,4.529897241073184e-05,7.0645485,7.918775289112067,638500.0,5.5133967,1178170912.9970706,1178170914.9970706,0.32984203,325833091,5.684141,1177532412.9926758,1177532414.9926758,0.32984203,154808459,117.92033,20.975721,138.89604,40.49909969153666,0.17788045,0.9897914,0.9897914,28.2,243162
2819478,0.1272195555117712,8.582113,9.57185177893391,640461.3,7.058455499999999,1177859247.9301758,1177859249.9301758,0.4370024,84767931,6.46518,1177218786.633789,1177218788.633789,0.4370024,40291596,265.35565,10.823554,276.1792,38.60830574990288,0.04078886,0.9793938,0.9793938,25.5,387442
2820559,2.914886263141897e-05,6.641074000000001,14.106513738223036,642000.0,12.853637,1178165519.1948242,1178165521.1948242,0.17863333,268825444,5.8118625,1177523519.184082,1177523521.184082,0.17863333,127728345,103.68687,15.330955,119.01782,32.03711271059853,0.14785822,-0.1417237999999999,-0.1417237999999999,25.1,205180
2820838,0.0007194245847901,7.873991,7.969683152312027,642500.0,5.676547,1177854312.1884766,1177854314.1884766,0.37552357,3890020,5.5939846,1177211812.1923828,1177211814.1923828,0.37552357,1845702,76.58058,12.961053,89.54163,25.56526875457298,0.16924725,0.22258838,0.22258838,25.5,277161
2821082,3.811118956208851e-05,6.926025,7.912575338901805,643000.0,5.659794000000001,1177672132.7036133,1177672134.7036133,0.24414156,234794273,5.5295190000000005,1177029132.7148438,1177029134.7148438,0.24414156,111549673,162.2626,24.81557,187.07817,51.11648727695474,0.15293463,0.99160826,0.99160826,27.7,362526
2821372,0.1142951596883431,8.569037,8.911409952570663,643428.2000000001,6.2297616,1177672729.1713867,1177672731.1713867,0.24259497,216972480,6.3720717,1177029300.9702148,1177029302.9702148,0.24259497,103086477,82.19915999999999,36.917377,119.11653,47.213317231523455,0.44912112,0.9626876,0.9626876,28.3,148592
2821621,0.1503208579691177,8.602375,10.599426332299524,643774.1000000001,8.865895,1177734108.2822266,1177734110.2822266,0.18075293,144390551,5.808936599999999,1177090334.1796875,1177090336.1796875,0.18075293,68614245,272.593,11.576287,284.16928,40.61953624947716,0.0424672959999999,0.68036956,0.68036956,23.7,192777
2822047,1.734562709331206e-05,5.656854,10.611827828800095,644500.0,5.5386496,1177803351.4301758,1177803353.4301758,0.36600092,7822847,9.051754,1177158851.4179688,1177158853.4179688,0.36600092,3710723,43.633156,18.561682,62.19484,24.339379411516727,0.42540315,-0.5924149000000001,-0.5924149000000001,25.9,129963
2822265,0.1714038573779645,8.618276,10.44509866420149,644767.8,8.691891,1177734108.2729492,1177734110.2729492,0.39840776,126474912,5.792332599999999,1177089340.4672852,1177089342.4672852,0.39840776,60106143,181.4761,1.909404,183.38551,11.78032761785636,0.010521518,0.09777303,0.09777303,21.5,192337
2823801,0.2665383563986254,8.671394,12.621572237955595,647391.6000000001,5.5208507,1178023950.984375,1178023952.984375,0.15218148,154699151,11.350079,1177376559.3833008,1177376561.3833008,0.15218148,73506767,277.1703,5.5536876,282.72397,26.431654132424804,0.020037096,0.48533207,0.48533207,22.8,205177
2824413,0.1469556216294146,8.599617,10.089758137773028,648489.9,8.324959,1177799382.6289062,1177799384.6289062,0.43711528,183167344,5.700726,1177150892.7319336,1177150894.7319336,0.43711528,87033118,489.0744,9.783036,498.85745,46.59226959440804,0.020003166,0.99519295,0.99519295,25.0,387443
2824981,0.1004208035170714,8.553148,8.823045076803897,649429.1000000001,6.749378999999999,1178083840.5615234,1178083842.5615234,0.24840826,187862053,5.6826057,1177434411.4609375,1177434413.4609375,0.24840826,89260908,181.31007,26.172695,207.48277,55.25426699599079,0.14435323,0.99733776,0.99733776,27.7,362547
2826184,0.0656585604969506,8.500580000000001,12.220392004297793,651193.1000000001,6.0959206,1177797191.977539,1177797193.977539,0.3395019999999999,275890238,10.591399,1177145998.8847654,1177146000.8847654,0.3395019999999999,131084577,108.49922,1.1388183,109.63804,7.0329313058581535,0.010496096,-0.9965974,-0.9965974,20.8,175796
2827622,0.0898474566093864,8.539505,8.61971433790635,653454.7000000001,6.212973000000001,1177746681.7861328,1177746683.7861328,0.44083497,147825027,5.9748173,1177093227.0874026,1177093229.0874026,0.44083497,70246232,64.8967,19.846281,84.74298,30.221797898141627,0.30581343,0.97754425,0.97754425,28.2,243157
2828473,0.8621276930703771,8.809728,9.34115190422056,654559.0,5.657911299999999,1178179338.6791992,1178179340.6791992,0.42802384,124236169,7.4327087,1177524779.6826172,1177524781.6826172,0.42802384,59045764,73.129684,9.579623,82.709305,21.0743602369963,0.130995,-0.20184247,-0.20184247,24.9,362333
2828889,0.2105931528800173,8.643134,20.17988889411168,655309.9,17.934504,1177733837.6582034,1177733839.6582034,0.3651129,324574565,9.251026,1177078527.7651367,1177078529.7651367,0.3651129,154211708,103.3089,2.1855464,105.494446,10.175897870607988,0.021155452,-0.78054583,-0.78054583,22.0,177619
2829173,0.2192623337087579,8.6479645,11.092833831553458,655569.8,9.227864,1177813040.8989258,1177813042.8989258,0.22984311,201004085,6.156093599999999,1177157471.0908206,1177157473.0908206,0.22984311,95501545,147.54742,1.5285785,149.076,9.48964755579168,0.010359913,-0.3900991,-0.3900991,21.5,328741
2829179,1.0219831954998742,8.829429,11.549720761246885,655580.5,8.938211,1177734108.2768557,1177734110.2768557,0.3149877,177016184,7.3146725,1177078527.7861328,1177078529.7861328,0.3149877,84112345,262.53043,3.9693818,266.49982,21.164213356430377,0.0151197019999999,0.5752175,0.5752175,22.4,178440
2830013,1.1067182823599524,8.83889,10.178765762178667,656933.3,6.034631299999999,1177748277.8393557,1177748279.8393557,0.18804385,77359168,8.196981,1177091344.5371096,1177091346.5371096,0.18804385,36771917,444.91223,53.844936,498.75717,122.48240295430884,0.12102373,0.99429303,0.99429303,26.5,395705
2830725,0.5269173142699187,8.752327000000001,19.805437112482267,657960.7000000001,6.381201,1177800742.1567383,1177800744.1567383,0.2992728,204231537,18.749283,1177142781.4560547,1177142783.4560547,0.2992728,97035706,112.9755,1.1705313999999998,114.146034,7.266549599452263,0.010360931,-0.9291309,-0.9291309,20.9,176076
2830726,25.93085396564425,9.199979,19.70359913479016,657963.5,5.6573462,1177800744.9658206,1177800746.9658206,0.3395019999999999,275890022,18.873957,1177142781.4560547,1177142783.4560547,0.3395019999999999,131084862,108.49922,1.1388183,109.63804,7.0329313058581535,0.010496096,-0.9965974,-0.9965974,20.8,175796
